MPS_Files/SHIP08S.SIF,2387,778,7114,1920098.21,0.069
MPS_Files/SHIP12L.SIF,5427,1151,16170,1470187.92,0.28
MPS_Files/SHIP12S.SIF,2763,1151,8178,1489236.13,0.14
MPS_Files/SIERRA.SIF,2036,1227,7302,15394362.18,0.057
MPS_Files/STAIR.SIF,467,356,3856,-251.27,0.033
MPS_Files/STANDATA.SIF,1075,359,3031,1257.7,0.005
MPS_Files/STANDGUB.SIF,1184,361,3139,1257.7,0.006
MPS_Files/STANDMPS.SIF,1075,467,3679,1406.02,0.036
MPS_Files/STOCFOR1.SIF,111,117,447,-41131.98,0.002
MPS_Files/STOCFOR2.SIF,2031,2157,8343,-39024.41,0.305
MPS_Files/STOCFOR3.SIF,15695,16675,64875,-39976.78,21.466
MPS_Files/TRUSS.SIF,8806,1000,27836,458815.85,1.967
MPS_Files/VTP-BASE.SIF,203,198,908,129831.46,0.003
MPS_Files/WOOD1P.SIF,2594,244,70215,1.44,0.1
MPS_Files/WOODW.SIF,8405,1098,37474,1.3,1.127
